X	with_NFKB1
22	0.129175426302
23	0.145059565522
24	0.122868488671
25	0.112824106517
26	0.111422564821
27	0.117028731605
28	0.10861948143
29	0.123335669236
30	0.124036440084
31	0.105349217473
32	0.125905162345
33	0.110721793973
34	0.121233356692
35	0.116094370474
36	0.118663863583
37	0.114225648213
38	0.117028731605
39	0.120766176127
40	0.117262321887
41	0.119364634431
42	0.109787432843
43	0.114459238496
44	0.124036440084
45	0.10861948143
46	0.108152300864
47	0.111422564821
48	0.111188974539
49	0.121233356692
50	0.120532585844
51	0.111656155104
52	0.108385891147
53	0.126372342911
54	0.113291287082
55	0.112824106517
56	0.109787432843
57	0.0999766409717
58	0.10604998832
59	0.110955384256
60	0.106283578603
61	0.11749591217
62	0.0997430506891
63	0.112824106517
64	0.115860780192
65	0.109086661995
66	0.11749591217
67	0.104882036907
68	0.114225648213
69	0.122167717823
70	0.120065405279
71	0.114692828778
72	0.110721793973
73	0.114225648213
74	0.108152300864
75	0.103947675777
76	0.113758467648
77	0.10067741182
78	0.0960056061668
79	0.0999766409717
80	0.108385891147
81	0.114692828778
82	0.104181266059
83	0.110955384256
84	0.104181266059
85	0.112590516235
86	0.108152300864
87	0.105582807755
88	0.0976407381453
89	0.108385891147
90	0.105816398038
91	0.111656155104
92	0.10955384256
93	0.109320252278
94	0.104882036907
95	0.102078953516
96	0.107217939734
97	0.100911002102
98	0.0927353422098
99	0.0995094604064
100	0.107451530016
101	0.105349217473
102	0.103246904929
103	0.0925017519271
104	0.0990422798412
105	0.0946040644709
106	0.0927353422098
107	0.090633029666
108	0.0929689324924
109	0.103246904929
110	0.10067741182
111	0.0985750992759
112	0.0995094604064
113	0.0967063770147
114	0.0988086895585
115	0.0948376547536
116	0.0981079187106
117	0.0997430506891
118	0.0974071478626
119	0.101144592385
120	0.103246904929
121	0.0960056061668
122	0.102078953516
123	0.0918009810792
124	0.0775519738379
125	0.0868955851437
126	0.0953048353189
127	0.0903994393833
128	0.0920345713618
129	0.0985750992759
130	0.0934361130577
131	0.0927353422098
132	0.090633029666
133	0.100210231254
134	0.0763840224247
135	0.0724129876197
136	0.0915673907965
137	0.0892314879701
138	0.086661994861
139	0.0775519738379
140	0.0826909600561
141	0.0829245503387
142	0.0878299462742
143	0.0845596823172
144	0.0763840224247
145	0.0759168418594
146	0.086661994861
147	0.0894650782527
148	0.103246904929
149	0.0880635365569
150	0.0798878766643
