X	wo_NFKB1
62	0.0822206605762
63	0.0917076598735
64	0.083977512298
65	0.0780042164441
66	0.071679550246
67	0.0804638088545
68	0.0706254392129
69	0.0639494026704
70	0.0639494026704
71	0.0667603654252
72	0.0730850316233
73	0.0706254392129
74	0.0695713281799
75	0.071679550246
76	0.0783555867885
77	0.0660576247365
78	0.0699226985242
79	0.0681658468025
80	0.0628952916374
81	0.0600843288826
82	0.0702740688686
83	0.0762473647224
84	0.0769501054111
85	0.071679550246
86	0.0695713281799
87	0.0600843288826
88	0.0685172171469
89	0.0699226985242
90	0.0780042164441
91	0.0660576247365
92	0.0530569219958
93	0.059381588194
94	0.0597329585383
95	0.0713281799016
96	0.0548137737175
97	0.0639494026704
98	0.0695713281799
99	0.0569219957836
100	0.0653548840478
101	0.0632466619817
102	0.0579761068166
103	0.0678144764582
104	0.0600843288826
105	0.0730850316233
106	0.074841883345
107	0.0646521433591
108	0.0586788475053
109	0.0762473647224
110	0.0801124385102
111	0.0829234012649
112	0.0713281799016
113	0.0513000702741
114	0.0632466619817
115	0.0558678847505
116	0.0597329585383
117	0.0664089950808
118	0.0639494026704
119	0.0600843288826
120	0.0474349964863
121	0.0621925509487
122	0.0586788475053
123	0.0674631061138
124	0.0558678847505
125	0.0678144764582
126	0.0667603654252
127	0.0597329585383
128	0.0646521433591
129	0.06148981026
130	0.0632466619817
131	0.0583274771609
132	0.0660576247365
133	0.0537596626845
134	0.0509486999297
135	0.0562192550949
136	0.0576247364722
137	0.0572733661279
138	0.0664089950808
139	0.0523541813071
140	0.0495432185524
141	0.0688685874912
142	0.0569219957836
143	0.0562192550949
144	0.0474349964863
145	0.0527055516514
146	0.0537596626845
147	0.0576247364722
148	0.0562192550949
149	0.0505973295854
150	0.0558678847505
