FACTOR	JDP2_NFKB_wo_vs_random	JDP2_NFKB_with_vs_random	JDP2_NFKB_with_vs_wo	JDP2_wo_vs_random	JDP2_FOS_NFKB_with_vs_random	JDP2_FOS_NFKB_wo_vs_random	JDP2_FOS_NFKB_with_vs_wo
UP00043_1_Bcl6b_primary	1.0000e+00	1.0000e+00	9.0316e-01	1.0000e+00	1.0000e+00	1.0000e+00	7.5404e-01
UP00044_1_Mafk_primary	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.7395e-01
UP00045_1_Mafb_primary	1.0000e+00	1.0000e+00	8.3065e-01	1.0000e+00	1.0000e+00	1.0000e+00	4.0907e-01
UP00046_1_Tcfe2a_primary	6.1606e-09	1.0000e+00	1.0000e+00	2.0481e-06	1.0000e+00	1.0000e+00	9.1256e-01
UP00047_1_Zbtb7b_primary	1.7878e-81	1.4910e-22	9.8754e-02	5.0915e-98	8.9817e-09	2.1649e-05	1.8907e-01
UP00048_1_Rara_primary	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.1256e-01
UP00049_1_Sp100_primary	1.0000e+00	1.0000e+00	3.9954e-01	1.0000e+00	1.0000e+00	1.0000e+00	7.9984e-01
UP00050_1_Bhlhb2_primary	1.5292e-03	1.0253e-01	7.5383e-01	2.6036e-04	2.1364e-02	1.0000e+00	2.0300e-01
UP00051_1_Sox8_primary	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.7285e-01
UP00052_1_Osr2_primary	1.0000e+00	1.0000e+00	8.4847e-01	1.0000e+00	1.0000e+00	1.0000e+00	5.6509e-01
UP00053_1_Rxra_primary	1.0000e+00	1.0000e+00	7.9291e-01	1.0000e+00	1.0000e+00	1.0000e+00	9.3730e-01
UP00054_1_Tcf7_primary	1.0000e+00	1.0000e+00	9.9777e-01	1.0000e+00	1.0000e+00	1.0000e+00	7.7104e-01
UP00055_1_Hbp1_primary	1.0000e+00	1.0000e+00	8.8022e-01	1.0000e+00	1.0000e+00	1.0000e+00	9.7285e-01
UP00056_1_Rfx4_primary	1.9406e-02	1.1608e-01	6.6493e-01	4.0840e-03	8.9924e-01	9.8550e-01	8.4302e-01
UP00057_1_Zic2_primary	0.0000e+00	0.0000e+00	3.8550e-01	0.0000e+00	1.0452e-117	2.3872e-208	1.8417e-01
UP00058_1_Tcf3_primary	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	7.6554e-01
UP00059_1_Arid5a_primary	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.2878e-01
UP00060_1_Max_primary	1.0206e-74	2.4243e-15	6.3157e-01	5.2288e-86	1.0328e-04	7.7569e-03	4.0089e-01
UP00061_1_Foxl1_primary	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.8414e-01
UP00062_1_Sox4_primary	1.0000e+00	1.0000e+00	9.0316e-01	1.0000e+00	1.0000e+00	1.0000e+00	4.8168e-01
UP00064_1_Sox18_primary	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.2878e-01
UP00065_1_Zfp161_primary	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00	4.0730e-124	0.0000e+00	8.9231e-01
UP00066_1_Hnf4a_primary	1.0000e+00	1.0000e+00	6.0649e-01	1.0000e+00	1.0000e+00	1.0000e+00	8.3342e-01
UP00067_1_Lef1_primary	1.0000e+00	1.0000e+00	9.4970e-01	1.0000e+00	1.0000e+00	1.0000e+00	7.5344e-01
UP00068_1_Eomes_primary	1.0000e+00	1.0000e+00	7.6193e-01	1.0000e+00	1.0000e+00	1.0000e+00	4.0907e-01
UP00069_1_Sox1_primary	1.0000e+00	1.0000e+00	9.3610e-01	1.0000e+00	1.0000e+00	1.0000e+00	8.8719e-01
UP00070_1_Gcm1_primary	2.5677e-295	1.2148e-38	1.0000e+00	1.7292e-322	1.4254e-09	4.5358e-26	9.2878e-01
UP00071_1_Sox21_primary	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.3730e-01
UP00072_1_IRC900814_primary	1.0000e+00	1.0000e+00	6.5407e-01	1.0000e+00	1.0000e+00	1.0000e+00	8.7916e-01
UP00073_1_Foxa2_primary	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.9244e-01
UP00074_1_Isgf3g_primary	1.0000e+00	1.0000e+00	8.5599e-01	1.0000e+00	1.0000e+00	1.0000e+00	9.7395e-01
UP00075_1_Sox15_primary	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.3730e-01
UP00076_1_Rfxdc2_primary	4.0787e-27	3.8840e-05	9.0316e-01	1.3843e-30	9.5114e-02	3.6375e-02	8.0049e-01
UP00077_1_Srf_primary	1.0000e+00	1.0000e+00	7.5304e-02	1.0000e+00	1.0000e+00	1.0000e+00	4.0907e-01
UP00078_1_Arid3a_primary	1.0000e+00	1.0000e+00	4.9431e-01	1.0000e+00	1.0000e+00	1.0000e+00	9.9244e-01
UP00079_1_Esrra_primary	1.0000e+00	1.0000e+00	7.2740e-01	1.0000e+00	1.0000e+00	1.0000e+00	4.0089e-01
UP00080_1_Gata5_primary	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.9244e-01
UP00081_1_Mybl1_primary	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.8474e-01	9.7395e-01
UP00082_1_Zfp187_primary	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.8414e-01
UP00083_1_Tcf7l2_primary	1.0000e+00	1.0000e+00	9.0316e-01	1.0000e+00	1.0000e+00	1.0000e+00	5.7767e-01
UP00084_1_Gmeb1_primary	3.5587e-22	1.6147e-11	5.4678e-02	7.8884e-30	1.5817e-01	7.1713e-04	9.3730e-01
UP00085_1_Sfpi1_primary	1.0000e+00	1.0000e+00	1.9066e-02	1.0000e+00	4.5745e-01	9.9969e-01	7.5212e-01
UP00086_1_Irf3_primary	1.0000e+00	1.0000e+00	4.3926e-01	1.0000e+00	1.0000e+00	1.0000e+00	8.1392e-01
UP00087_1_Tcfap2c_primary	0.0000e+00	8.4738e-195	1.0000e+00	0.0000e+00	5.3676e-44	2.9881e-94	6.7211e-01
UP00088_1_Plagl1_primary	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00	1.5821e-129	1.8381e-269	4.0102e-01
UP00089_1_Tcf1_primary	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	8.3342e-01
UP00091_1_Sox5_primary	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.8349e-01
UP00092_1_Myb_primary	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	4.7241e-01	9.7395e-01
UP00093_1_Klf7_primary	0.0000e+00	0.0000e+00	1.5895e-02	0.0000e+00	1.7476e-169	0.0000e+00	1.8907e-01
UP00094_1_Zfp128_primary	4.6577e-02	2.4737e-01	7.6193e-01	1.4681e-02	1.0000e+00	1.0000e+00	7.9996e-01
UP00095_1_Zfp691_primary	1.0000e+00	1.0000e+00	8.3607e-01	1.0000e+00	9.7545e-01	1.0000e+00	4.0089e-01
UP00096_1_Sox13_primary	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.8414e-01
UP00097_1_Mtf1_primary	7.0010e-300	5.2145e-39	1.0000e+00	0.0000e+00	7.3124e-14	9.9915e-22	5.4949e-01
UP00098_1_Rfx3_primary	1.0000e+00	1.0000e+00	9.4970e-01	1.0000e+00	1.0000e+00	1.0000e+00	9.7395e-01
UP00099_1_Ascl2_primary	0.0000e+00	9.6742e-38	1.0000e+00	0.0000e+00	8.6988e-10	4.4752e-24	8.8719e-01
UP00100_1_Gata6_primary	1.0000e+00	1.0000e+00	9.1651e-01	1.0000e+00	1.0000e+00	1.0000e+00	9.9244e-01
UP00101_1_Sox12_primary	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.9614e-01
UP00102_1_Zic1_primary	0.0000e+00	0.0000e+00	6.6493e-01	0.0000e+00	1.0070e-116	1.4167e-237	4.0089e-01
UP00103_1_Jundm2_primary	2.8557e-04	5.9151e-09	6.5741e-04	3.7303e-08	1.2539e-02	1.0338e-05	9.1256e-01
UP00104_1_Hmx1_3423.1	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.8414e-01
UP00105_1_Pou3f4_3773.1	1.0000e+00	1.0000e+00	9.4970e-01	1.0000e+00	1.0000e+00	1.0000e+00	9.1256e-01
UP00106_1_Vax2_3500.1	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.9614e-01
UP00107_1_Nkx2-4_3074.1	1.0000e+00	1.0000e+00	9.8980e-01	1.0000e+00	1.0000e+00	1.0000e+00	9.8807e-01
UP00108_1_Alx3_3418.2	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	5.8725e-01
UP00109_1_Obox6_3440.2	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.6125e-01
UP00110_1_Dlx4_3488.2	1.0000e+00	1.0000e+00	7.1754e-01	1.0000e+00	1.0000e+00	1.0000e+00	9.2878e-01
UP00111_1_Dmbx1_2277.1	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.7395e-01
UP00112_1_Gsc_2327.3	1.0000e+00	1.0000e+00	9.2528e-01	1.0000e+00	1.0000e+00	1.0000e+00	8.1535e-01
UP00113_1_Hoxc4_3491.1	1.0000e+00	1.0000e+00	9.7531e-01	1.0000e+00	1.0000e+00	1.0000e+00	9.3730e-01
UP00114_1_Homez_1063.2	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.6653e-01
UP00115_1_Lhx2_0953.2	1.0000e+00	1.0000e+00	9.2528e-01	1.0000e+00	1.0000e+00	1.0000e+00	8.1367e-01
UP00116_1_Rhox6_4251.1	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.9204e-01
UP00117_1_Hoxd11_3873.1	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.9244e-01
UP00118_1_Pou4f3_2791.1	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00
UP00119_1_Nkx2-9_3082.1	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.3730e-01
UP00120_1_Lbx2_3869.2	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	5.8515e-01
UP00121_1_Hoxd10_2368.2	1.0000e+00	1.0000e+00	5.0718e-01	1.0000e+00	1.0000e+00	1.0000e+00	9.7395e-01
UP00122_1_Tgif1_2342.2	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	7.3079e-01
UP00123_1_Hlxb9_3422.1	1.0000e+00	1.0000e+00	9.2528e-01	1.0000e+00	1.0000e+00	1.0000e+00	7.9996e-01
UP00124_1_Ipf1_3815.1	1.0000e+00	1.0000e+00	8.8603e-01	1.0000e+00	1.0000e+00	1.0000e+00	6.7211e-01
UP00125_1_Pitx2_2274.3	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.3730e-01
UP00126_1_Dlx2_2273.2	1.0000e+00	1.0000e+00	9.0316e-01	1.0000e+00	1.0000e+00	1.0000e+00	5.8725e-01
UP00127_1_Gsh2_3990.2	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	6.7211e-01
UP00128_1_Pou3f2_2824.1	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.7395e-01
UP00129_1_Pou3f1_3819.1	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.3730e-01
UP00130_1_Lhx3_3431.1	1.0000e+00	1.0000e+00	9.3610e-01	1.0000e+00	1.0000e+00	1.0000e+00	7.9996e-01
UP00131_1_Gbx2_3110.1	1.0000e+00	1.0000e+00	9.9140e-01	1.0000e+00	1.0000e+00	1.0000e+00	8.3342e-01
UP00132_1_Evx2_2645.3	1.0000e+00	1.0000e+00	9.0833e-02	1.0000e+00	1.0000e+00	1.0000e+00	8.0049e-01
UP00133_1_Cdx2_4272.1	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	7.8935e-01
UP00134_1_Hoxb13_3479.1	1.0000e+00	1.0000e+00	9.5840e-01	1.0000e+00	1.0000e+00	1.0000e+00	9.7395e-01
UP00135_1_Hoxc12_3480.1	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.8349e-01
UP00136_1_Prrx2_3072.1	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	7.6031e-01
UP00137_1_Hoxb3_1720.2	1.0000e+00	1.0000e+00	4.4537e-01	1.0000e+00	1.0000e+00	1.0000e+00	8.0049e-01
UP00138_1_Bsx_3483.2	1.0000e+00	1.0000e+00	9.9140e-01	1.0000e+00	1.0000e+00	1.0000e+00	5.8725e-01
UP00139_1_Nkx1-2_3214.1	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	2.9982e-01
UP00140_1_Hoxd1_3448.1	1.0000e+00	1.0000e+00	8.9562e-01	1.0000e+00	1.0000e+00	1.0000e+00	4.0907e-01
UP00141_1_Vsx1_1728.1	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	8.6439e-01
UP00142_1_Uncx4.1_2281.2	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.7395e-01
UP00143_1_Dobox5_3493.1	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.6779e-01
UP00144_1_Hoxb4_2627.1	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.3730e-01
UP00145_1_Barhl2_3868.1	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.1256e-01
UP00146_1_Pou6f1_1731.2	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.9244e-01
UP00147_1_Nkx2-6_3437.1	1.0000e+00	1.0000e+00	9.0295e-01	1.0000e+00	1.0000e+00	1.0000e+00	7.5212e-01
UP00148_1_Hdx_3845.3	1.0000e+00	1.0000e+00	9.2528e-01	1.0000e+00	1.0000e+00	1.0000e+00	9.7395e-01
UP00149_1_Phox2b_3948.1	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.3730e-01
UP00150_1_Irx6_2623.2	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	4.0907e-01
UP00151_1_Barx2_3447.2	1.0000e+00	1.0000e+00	5.0718e-01	1.0000e+00	1.0000e+00	1.0000e+00	5.8515e-01
UP00152_1_Arx_1738.2	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.2878e-01
UP00153_1_Pitx1_2312.1	1.0000e+00	1.0000e+00	1.7481e-01	1.0000e+00	1.0000e+00	1.0000e+00	4.7046e-01
UP00154_1_Dlx3_1030.1	1.0000e+00	1.0000e+00	7.1754e-01	1.0000e+00	1.0000e+00	1.0000e+00	8.7916e-01
UP00155_1_Hmx2_3424.3	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	8.6358e-01
UP00156_1_Msx2_3449.1	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	8.6439e-01
UP00157_1_Hmx3_3490.2	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.7395e-01
UP00158_1_Pou1f1_3818.1	1.0000e+00	1.0000e+00	9.9918e-01	1.0000e+00	1.0000e+00	1.0000e+00	9.6653e-01
UP00159_1_Six2_2307.2	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.2878e-01
UP00160_1_Obox3_3439.1	1.0000e+00	1.0000e+00	9.0316e-01	1.0000e+00	1.0000e+00	1.0000e+00	6.3660e-01
UP00161_1_Hmbox1_2674.1	1.0000e+00	1.0000e+00	1.5506e-01	1.0000e+00	1.0000e+00	1.0000e+00	5.1416e-01
UP00162_1_Evx1_3952.2	1.0000e+00	1.0000e+00	3.6202e-01	1.0000e+00	1.0000e+00	1.0000e+00	9.7395e-01
UP00163_1_En2_0952.1	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.2878e-01
UP00164_1_Hoxa7_2668.2	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.8349e-01
UP00165_1_Titf1_1722.2	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.7395e-01
UP00166_1_Barhl1_2590.2	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	8.3342e-01
UP00167_1_En1_3123.2	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.2878e-01
UP00168_1_Hoxd8_2644.1	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.7395e-01
UP00169_1_Lmx1b_3433.2	1.0000e+00	1.0000e+00	8.3607e-01	1.0000e+00	1.0000e+00	1.0000e+00	9.1256e-01
UP00170_1_Isl2_3430.1	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.3730e-01
UP00171_1_Msx3_3206.1	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.1256e-01
UP00172_1_Prop1_3949.1	1.0000e+00	1.0000e+00	9.8980e-01	1.0000e+00	1.0000e+00	1.0000e+00	9.2878e-01
UP00173_1_Hoxc13_3127.1	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.8349e-01
UP00174_1_Hoxa2_3079.1	1.0000e+00	1.0000e+00	7.7077e-01	1.0000e+00	1.0000e+00	1.0000e+00	6.7211e-01
UP00175_1_Lhx9_3492.1	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00
UP00176_1_Crx_3485.1	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.8448e-01
UP00177_1_Hoxd12_3481.1	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.9244e-01
UP00178_1_Og2x_3719.1	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	8.3342e-01
UP00179_1_Pou2f3_3986.2	1.0000e+00	1.0000e+00	3.3150e-01	1.0000e+00	1.0000e+00	1.0000e+00	9.2878e-01
UP00180_1_Hoxd13_2356.1	1.0000e+00	1.0000e+00	9.4872e-01	1.0000e+00	1.0000e+00	1.0000e+00	9.6653e-01
UP00181_1_Barx1_2877.1	1.0000e+00	1.0000e+00	6.0649e-01	1.0000e+00	1.0000e+00	1.0000e+00	8.6439e-01
UP00182_1_Hoxa6_1040.1	1.0000e+00	1.0000e+00	5.0718e-01	1.0000e+00	1.0000e+00	1.0000e+00	5.0730e-01
UP00183_1_Hoxa13_3126.1	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.7395e-01
UP00184_1_Lhx8_2247.2	1.0000e+00	1.0000e+00	7.5383e-01	1.0000e+00	1.0000e+00	1.0000e+00	7.6438e-01
UP00185_1_Pbx1_3203.1	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.3730e-01
UP00186_1_Meis1_2335.1	1.0000e+00	1.0000e+00	9.3433e-01	1.0000e+00	1.0000e+00	1.0000e+00	9.6653e-01
UP00187_1_Alx4_1744.1	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.9244e-01
UP00188_1_Lmx1a_2238.2	1.0000e+00	1.0000e+00	6.6493e-01	1.0000e+00	1.0000e+00	1.0000e+00	9.7395e-01
UP00189_1_Hoxa5_3415.1	1.0000e+00	1.0000e+00	8.5599e-01	1.0000e+00	1.0000e+00	1.0000e+00	7.8935e-01
UP00190_1_Nkx2-3_3435.1	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.9244e-01
UP00191_1_Pou2f2_3748.1	1.0000e+00	1.0000e+00	6.0649e-01	1.0000e+00	1.0000e+00	1.0000e+00	9.7976e-01
UP00192_1_Six1_0935.2	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00
UP00193_1_Rhox11_1765.2	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.6779e-01
UP00194_1_Irx4_2242.3	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	4.8926e-01
UP00195_1_Six3_1732.2	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.6125e-01
UP00196_1_Hoxa4_3426.1	1.0000e+00	1.0000e+00	6.0649e-01	1.0000e+00	1.0000e+00	1.0000e+00	9.2878e-01
UP00197_1_Hoxc9_2367.2	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.8349e-01
UP00198_1_Cphx_3484.1	1.0000e+00	1.0000e+00	9.3610e-01	1.0000e+00	1.0000e+00	1.0000e+00	9.9244e-01
UP00199_1_Six4_2860.1	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.7738e-01
UP00200_1_Nkx6-1_2825.1	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	8.3342e-01
UP00201_1_Emx2_3420.1	1.0000e+00	1.0000e+00	6.5407e-01	1.0000e+00	1.0000e+00	1.0000e+00	9.2878e-01
UP00202_1_Dlx1_1741.2	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	7.5212e-01
UP00203_1_Pknox1_2364.2	1.0000e+00	1.0000e+00	9.8980e-01	1.0000e+00	1.0000e+00	1.0000e+00	8.9231e-01
UP00204_1_Gbx1_2883.2	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	6.7211e-01
UP00205_1_Pknox2_3077.2	1.0000e+00	1.0000e+00	8.4847e-01	1.0000e+00	1.0000e+00	1.0000e+00	8.6439e-01
UP00206_1_Hoxb7_3953.1	1.0000e+00	1.0000e+00	9.2528e-01	1.0000e+00	1.0000e+00	1.0000e+00	9.6653e-01
UP00207_1_Hoxb9_3413.1	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.6653e-01
UP00208_1_Obox5_2284.1	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	8.7921e-01
UP00209_1_Cart1_0997.1	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.7395e-01
UP00210_1_Mrg2_2302.1	1.0000e+00	1.0000e+00	9.2528e-01	1.0000e+00	1.0000e+00	1.0000e+00	9.7395e-01
UP00211_1_Pou3f3_3235.2	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.2878e-01
UP00212_1_Lhx5_2279.1	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.9244e-01
UP00213_1_Hoxa9_2622.2	1.0000e+00	1.0000e+00	6.0761e-01	1.0000e+00	1.0000e+00	1.0000e+00	7.5212e-01
UP00214_1_Hoxb5_3122.2	1.0000e+00	1.0000e+00	7.3358e-01	1.0000e+00	1.0000e+00	1.0000e+00	7.9996e-01
UP00215_1_Vax1_3499.1	1.0000e+00	1.0000e+00	9.4872e-01	1.0000e+00	1.0000e+00	1.0000e+00	4.0089e-01
UP00216_1_Obox1_3970.2	1.0000e+00	1.0000e+00	9.2528e-01	1.0000e+00	1.0000e+00	1.0000e+00	4.0040e-01
UP00217_1_Hoxa10_2318.1	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.7285e-01
UP00218_1_Dbx2_3487.1	1.0000e+00	1.0000e+00	9.0316e-01	1.0000e+00	1.0000e+00	1.0000e+00	9.2481e-01
UP00219_1_Cutl1_3494.1	1.0000e+00	1.0000e+00	9.5840e-01	1.0000e+00	1.0000e+00	1.0000e+00	9.2878e-01
UP00220_1_Nkx1-1_3856.3	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.8414e-01
UP00221_1_Phox2a_3947.1	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.7395e-01
UP00222_1_Tcf2_0913.2	1.0000e+00	1.0000e+00	5.0718e-01	1.0000e+00	1.0000e+00	1.0000e+00	8.1367e-01
UP00223_1_Irx3_0920.1	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	7.6438e-01
UP00224_1_Pax6_3838.3	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	8.1367e-01
UP00225_1_Hlx1_2350.1	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.6125e-01
UP00226_1_Mrg1_2246.2	1.0000e+00	1.0000e+00	9.0316e-01	1.0000e+00	1.0000e+00	1.0000e+00	9.3730e-01
UP00227_1_Duxl_1286.2	1.0000e+00	1.0000e+00	1.9702e-02	1.0000e+00	1.0000e+00	1.0000e+00	9.3164e-01
UP00228_1_Bapx1_2343.1	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.6653e-01
UP00229_1_Otx1_2325.1	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.6125e-01
UP00230_1_Dlx5_3419.2	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	8.1535e-01
UP00231_1_Nkx2-2_2823.1	1.0000e+00	1.0000e+00	6.8558e-01	1.0000e+00	1.0000e+00	1.0000e+00	4.0907e-01
UP00232_1_Dobox4_3956.2	1.0000e+00	1.0000e+00	2.8601e-01	1.0000e+00	1.0000e+00	1.0000e+00	9.2878e-01
UP00233_1_Meox1_2310.2	1.0000e+00	1.0000e+00	8.4847e-01	1.0000e+00	1.0000e+00	1.0000e+00	3.3059e-01
