FACTOR	JDP2_NFKB_wo_vs_random	JDP2_NFKB_with_vs_random	JDP2_NFKB_with_vs_wo	JDP2_wo_vs_random	JDP2_FOS_NFKB_with_vs_random	JDP2_FOS_NFKB_wo_vs_random	JDP2_FOS_NFKB_with_vs_wo
MA0158.1.HOXA5	1.0000e+00	1.0000e+00	6.8558e-01	1.0000e+00	1.0000e+00	1.0000e+00	5.8725e-01
MA0159.1.RXR::RAR_DR5	2.2587e-12	4.1866e-01	1.0000e+00	2.7161e-12	2.5056e-01	5.8618e-01	7.3377e-01
MA0160.1.NR4A2	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	4.9030e-01
MA0161.1.NFIC	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00
MA0162.2.EGR1	0.0000e+00	0.0000e+00	6.4974e-01	0.0000e+00	7.3879e-259	0.0000e+00	5.4581e-01
MA0163.1.PLAG1	0.0000e+00	4.8476e-315	9.3610e-01	0.0000e+00	1.5259e-63	1.3102e-133	5.0730e-01
MA0164.1.Nr2e3	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	4.0089e-01
MA0258.2.ESR2	4.0617e-59	9.3774e-08	1.0000e+00	2.4177e-64	1.5752e-04	1.1994e-05	6.6696e-01
MA0259.1.HIF1A::ARNT	4.2913e-216	3.5976e-26	1.0000e+00	2.3893e-233	3.5235e-11	3.1461e-09	2.9982e-01
MA0442.1.SOX10	1.0000e+00	1.0000e+00	3.3806e-02	1.0000e+00	1.0000e+00	1.0000e+00	2.1440e-01
MA0461.1.Atoh1	7.7770e-66	4.1815e-06	1.0000e+00	3.0085e-69	6.1364e-06	8.4078e-04	2.9982e-01
MA0462.1.BATF::JUN	1.0000e+00	1.0000e+00	6.1003e-02	1.0000e+00	1.0000e+00	3.8016e-02	9.7395e-01
MA0463.1.Bcl6	1.0000e+00	1.0000e+00	9.8216e-01	1.0000e+00	1.0000e+00	1.0000e+00	9.7395e-01
MA0464.1.Bhlhe40	2.0915e-10	1.0000e+00	1.0000e+00	2.2206e-09	1.0000e+00	1.0000e+00	8.3342e-01
MA0465.1.CDX2	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.2878e-01
MA0466.1.CEBPB	1.0000e+00	1.0000e+00	6.0649e-01	1.0000e+00	1.0000e+00	1.0000e+00	3.3059e-01
MA0467.1.Crx	1.0000e+00	1.0000e+00	9.3610e-01	1.0000e+00	1.0000e+00	1.0000e+00	7.3377e-01
MA0468.1.DUX4	1.0000e+00	1.0000e+00	2.9835e-02	1.0000e+00	1.0000e+00	1.0000e+00	7.6438e-01
MA0469.1.E2F3	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00	6.6476e-145	6.6074e-300	3.0440e-01
MA0470.1.E2F4	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00	4.6303e-220	0.0000e+00	4.7046e-01
MA0471.1.E2F6	0.0000e+00	1.4024e-306	1.0000e+00	0.0000e+00	4.8698e-68	5.2401e-156	6.7211e-01
MA0472.1.EGR2	0.0000e+00	0.0000e+00	3.5438e-01	0.0000e+00	2.7769e-135	1.0114e-264	1.8907e-01
MA0473.1.ELF1	5.4152e-158	1.4960e-23	9.2528e-01	2.0587e-176	3.3137e-11	4.2795e-22	7.5344e-01
MA0474.1.Erg	3.8424e-96	3.6511e-27	3.3806e-02	8.2400e-117	1.3881e-18	5.7345e-16	6.9967e-02
MA0475.1.FLI1	2.9090e-319	3.9672e-57	3.9745e-01	0.0000e+00	1.3809e-28	5.2295e-45	3.4586e-01
MA0476.1.FOS	1.0000e+00	1.0000e+00	6.3375e-05	1.0000e+00	8.7641e-14	1.0478e-31	8.3342e-01
MA0477.1.FOSL1	1.0000e+00	1.0000e+00	1.4918e-06	1.0000e+00	8.5043e-19	3.2894e-34	5.8725e-01
MA0478.1.FOSL2	1.0000e+00	1.0000e+00	1.6630e-04	1.0000e+00	4.3140e-06	1.0610e-11	7.9996e-01
MA0479.1.FOXH1	1.0000e+00	1.0000e+00	2.8451e-01	1.0000e+00	1.0000e+00	1.0000e+00	9.7395e-01
MA0480.1.Foxo1	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	8.1367e-01
MA0481.1.FOXP1	1.0000e+00	1.0000e+00	8.9208e-01	1.0000e+00	1.0000e+00	1.0000e+00	9.8414e-01
MA0482.1.Gata4	1.0000e+00	1.0000e+00	9.9229e-01	1.0000e+00	1.0000e+00	1.0000e+00	9.9244e-01
MA0483.1.Gfi1b	1.0000e+00	1.0000e+00	8.3607e-01	1.0000e+00	1.0000e+00	1.0000e+00	9.2878e-01
MA0484.1.HNF4G	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.7395e-01
MA0485.1.Hoxc9	1.0000e+00	1.0000e+00	4.3450e-01	1.0000e+00	1.0000e+00	1.0000e+00	9.7395e-01
MA0486.1.HSF1	1.0000e+00	1.0000e+00	9.4970e-01	1.0000e+00	1.0000e+00	1.0000e+00	9.6779e-01
MA0488.1.JUN	1.0000e+00	1.0000e+00	1.0121e-01	1.0000e+00	1.0000e+00	1.0000e+00	9.7395e-01
MA0489.1.JUN.var.2	1.0000e+00	1.0000e+00	1.0308e-03	1.0000e+00	7.4211e-09	7.7165e-26	9.3730e-01
MA0490.1.JUNB	1.0000e+00	1.0000e+00	2.9370e-05	1.0000e+00	7.0057e-17	7.2447e-37	7.8935e-01
MA0491.1.JUND	1.0000e+00	1.0000e+00	6.3375e-05	1.0000e+00	1.7805e-16	3.8099e-39	8.4302e-01
MA0492.1.JUND.var.2	1.0000e+00	1.0000e+00	3.6202e-01	1.0000e+00	1.0000e+00	1.0000e+00	9.9244e-01
MA0493.1.Klf1	0.0000e+00	1.4370e-212	4.0503e-01	0.0000e+00	6.3429e-40	1.8140e-89	7.3377e-01
MA0494.1.Nr1h3::Rxra	1.0000e+00	1.0000e+00	7.5383e-01	1.0000e+00	1.0000e+00	1.0000e+00	2.1692e-01
MA0495.1.MAFF	1.0000e+00	1.0000e+00	8.5599e-01	1.0000e+00	1.0000e+00	1.0000e+00	8.1392e-01
MA0496.1.MAFK	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.3730e-01
MA0497.1.MEF2C	1.0000e+00	1.0000e+00	9.5826e-01	1.0000e+00	1.0000e+00	1.0000e+00	9.7395e-01
MA0498.1.Meis1	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	7.5404e-01
MA0499.1.Myod1	3.7091e-209	1.7811e-21	1.0000e+00	2.8787e-224	1.2233e-06	8.5254e-15	8.6358e-01
MA0500.1.Myog	7.0548e-256	5.2681e-29	1.0000e+00	3.6905e-277	7.8990e-09	3.7166e-21	8.7916e-01
MA0501.1.NFE2::MAF	1.0000e+00	1.0000e+00	3.4426e-01	1.0000e+00	5.8594e-01	4.7472e-01	8.3342e-01
MA0502.1.NFYB	6.4009e-19	7.6287e-04	9.0316e-01	2.2135e-21	5.8065e-01	5.2854e-01	8.3342e-01
MA0503.1.Nkx2-5.var.2	1.0000e+00	1.0000e+00	7.5383e-01	1.0000e+00	1.0000e+00	1.0000e+00	4.0907e-01
MA0504.1.NR2C2	0.0000e+00	5.7555e-119	1.0000e+00	0.0000e+00	3.0467e-33	3.3590e-68	6.1398e-01
MA0505.1.Nr5a2	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	4.0907e-01
MA0506.1.NRF1	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00	1.3171e-242	0.0000e+00	9.7285e-01
MA0507.1.POU2F2	1.0000e+00	1.0000e+00	4.5030e-01	1.0000e+00	1.0000e+00	1.0000e+00	4.0907e-01
MA0508.1.PRDM1	1.0000e+00	1.0000e+00	9.6549e-02	1.0000e+00	1.0000e+00	1.0000e+00	5.0730e-01
MA0509.1.Rfx1	6.1247e-26	2.4155e-06	6.8558e-01	2.3396e-30	4.9381e-02	1.8169e-01	6.5721e-01
MA0510.1.RFX5	2.5483e-118	1.8147e-14	1.0000e+00	1.1389e-128	3.0178e-05	3.9425e-11	8.6053e-01
MA0511.1.RUNX2	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.1863e-01
MA0512.1.Rxra	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	1.0000e+00	9.2878e-01
