	all	with	with_clust1	with_clust2	with_clust3	with_clust4	with_clust5	wo	wo_clust1	wo_clust2	wo_clust3	wo_clust4	wo_clust5
UP00161_1_Hmbox1_2674.1	0.999999999944	0.999999999993	0.999999926799	0.999999928996	0.999999999996	1.0	1.0	1.0	0.999572332206	0.999983353852	0.999995237366	0.999999999243	1.0
UP00258_1_Tgif2_3451.1	0.994244137269	0.999999972105	0.999957488808	0.968919196325	0.994754666149	0.99999844574	0.916266042307	0.612500645903	0.426821111465	0.788655421785	0.455947543139	0.441424592984	0.866151979061
MA0147.2.Myc	6.14315912895e-14	1.13676830245e-11	0.127584174394	0.0156827997925	0.000234277605133	0.257190020217	8.485619345e-07	9.9019617441e-08	0.50822477672	0.742040459303	0.11870329526	4.04560962542e-05	2.6408171206e-05
UP00114_1_Homez_1063.2	0.999999999963	1.0	0.999563106944	0.99999800402	0.999999999912	0.999999685138	0.999999999062	1.0	0.988003300254	0.996822593691	0.999787827891	0.999990795613	0.999999932978
UP00200_1_Nkx6-1_2825.1	0.999999999946	0.999999999988	1.0	1.0	0.999999999996	1.0	0.999999999999	1.0	0.999999999999	1.0	1.0	1.0	1.0
UP00132_1_Evx2_2645.3	0.99999999995	0.999999999996	0.999834911847	0.999760231001	0.971782061674	0.999997099086	0.999999999999	0.99999997447	0.999266294938	0.974714894716	0.508727311042	0.99968618198	0.967679438377
UP00101_1_Sox12_primary	0.999999999942	1.0	1.0	1.0	0.999999999998	1.0	1.0	1.0	0.999999999735	0.999999999902	0.999999998835	1.0	1.0
UP00186_1_Meis1_2335.1	0.999999997541	0.999999999985	0.999913270557	0.995673986517	0.993228160551	0.999999997918	0.983104383821	0.931753065486	0.117560644066	0.953425607847	0.782179022377	0.812556785074	0.944155381816
UP00210_1_Mrg2_2302.1	0.999571431674	0.999999889485	0.883231746721	0.949572165623	0.998153774907	0.9999910275	0.9549363435	0.814984198879	0.405754571529	0.751710049267	0.25878815722	0.126182374165	0.961560206488
UP00008_4	0.999999999963	0.999999999994	0.999999999948	0.999999999996	1.0	1.0	0.999999999999	1.0	0.999999999903	0.99992550799	0.99999999932	1.0	1.0
