X	with_REL
80	0.141715873567
81	0.124001389371
82	0.133726988538
83	0.122264675234
84	0.130948245919
85	0.135463702675
86	0.138937130948
87	0.129211531782
88	0.114623133032
89	0.113233761723
90	0.12156998958
91	0.128516846127
92	0.122612018062
93	0.118791246961
94	0.122264675234
95	0.115317818687
96	0.116012504342
97	0.117054532824
98	0.105939562348
99	0.127822160472
100	0.125390760681
101	0.106634248003
102	0.103160819729
103	0.105244876693
104	0.107676276485
105	0.109412990622
106	0.10038207711
107	0.118791246961
108	0.109065647794
109	0.110802361931
110	0.109412990622
111	0.10177144842
112	0.100034734283
113	0.100034734283
114	0.112539076068
115	0.107328933658
116	0.106634248003
117	0.109412990622
118	0.103508162556
119	0.116359847169
120	0.112191733241
121	0.10038207711
122	0.0996873914554
123	0.101076762765
124	0.0809308787774
125	0.115665161514
126	0.108718304967
127	0.101424105592
128	0.115665161514
129	0.11497047586
130	0.123654046544
131	0.117054532824
132	0.0972559916638
133	0.0892671066342
134	0.0937825633901
135	0.0923931920806
136	0.104202848211
137	0.106286905175
138	0.0913511635985
139	0.0809308787774
140	0.0951719346995
141	0.100729419937
142	0.0896144494616
143	0.0850989927058
144	0.0944772490448
145	0.089961792289
146	0.0986453629733
147	0.101076762765
148	0.105939562348
149	0.111497047586
150	0.0962139631817
