FACTOR	P-VALUE	CORR.P-VALUE	A	B	C	D	FREQ	BACK.FREQ.	GENES
UP00147_1_Nkx2-6_3437.1	0.0270667192901	0.057457421651	90.0	616.0	73.0	698.0	12.75%	9.47%	NA
UP00223_1_Irx3_0920.1	0.0279314890386	0.0590342388415	57.0	649.0	42.0	729.0	8.07%	5.45%	NA
MA0140.2.TAL1::GATA1	0.0298266494636	0.0627656449582	112.0	594.0	95.0	676.0	15.86%	12.32%	NA
UP00255_1_Dbx1_3486.1	0.0304083436196	0.0637127199649	133.0	573.0	116.0	655.0	18.84%	15.05%	NA
MA0515.1.Sox6	0.0324927301859	0.0677865578016	228.0	478.0	214.0	557.0	32.29%	27.76%	NA
UP00247_1_Pax4_3989.2	0.0327148024878	0.0679569287729	42.0	664.0	29.0	742.0	5.95%	3.76%	NA
UP00098_1_Rfx3_primary	0.0346217197694	0.071610736617	103.0	603.0	87.0	684.0	14.59%	11.28%	NA
UP00219_1_Cutl1_3494.1	0.0350159418328	0.0721179397748	56.0	650.0	42.0	729.0	7.93%	5.45%	NA
MA0009.1.T	0.0369729500521	0.0758258806153	79.0	627.0	64.0	707.0	11.19%	8.3%	NA
MA0137.3.STAT1	0.037606818008	0.076800421586	224.0	482.0	211.0	560.0	31.73%	27.37%	NA
MA0019.1.Ddit3::Cebpa	0.0392476329454	0.0798145140571	89.0	617.0	74.0	697.0	12.61%	9.6%	NA
UP00011_1_Irf6_primary	0.0399632654901	0.0809297928754	50.0	656.0	37.0	734.0	7.08%	4.8%	NA
MA0084.1.SRY	0.0405755640148	0.0818273874299	143.0	563.0	128.0	643.0	20.25%	16.6%	NA
UP00056_1_Rfx4_primary	0.0415525747406	0.0834499841264	112.0	594.0	97.0	674.0	15.86%	12.58%	NA
MA0109.1.Hltf	0.0453126360222	0.0906252720443	81.0	625.0	67.0	704.0	11.47%	8.69%	NA
MA0466.1.CEBPB	0.0482642633987	0.0961312900616	101.0	605.0	87.0	684.0	14.31%	11.28%	NA
UP00103_1_Jundm2_primary	0.0485822990235	0.0963681669154	108.0	598.0	94.0	677.0	15.3%	12.19%	NA
UP00230_1_Dlx5_3419.2	0.0491898276291	0.0971750064182	48.0	658.0	36.0	735.0	6.8%	4.67%	NA
UP00132_1_Evx2_2645.3	0.0500518651681	0.098476027404	49.0	657.0	37.0	734.0	6.94%	4.8%	NA
UP00061_1_Foxl1_primary	0.0504533821242	0.0988641171989	162.0	544.0	149.0	622.0	22.95%	19.33%	NA
UP00157_1_Hmx3_3490.2	0.0536145030435	0.10463475594	78.0	628.0	65.0	706.0	11.05%	8.43%	NA
MA0046.1.HNF1A	0.055927892737	0.108643502749	91.0	615.0	78.0	693.0	12.89%	10.12%	NA
MA0507.1.POU2F2	0.0561175117505	0.108643502749	121.0	585.0	108.0	663.0	17.14%	14.01%	NA
UP00250_1_Irx5_2385.1	0.0570011163225	0.109914503188	59.0	647.0	47.0	724.0	8.36%	6.1%	NA
UP00222_1_Tcf2_0913.2	0.0580731572037	0.111537333677	61.0	645.0	49.0	722.0	8.64%	6.36%	NA
UP00208_1_Obox5_2284.1	0.0652103121916	0.12453182302	85.0	621.0	73.0	698.0	12.04%	9.47%	NA
UP00078_1_Arid3a_primary	0.0657967874921	0.12453182302	91.0	615.0	79.0	692.0	12.89%	10.25%	NA
MA0151.1.ARID3A	0.0659631205287	0.12453182302	105.0	601.0	93.0	678.0	14.87%	12.06%	NA
UP00045_1_Mafb_primary	0.0659631205287	0.12453182302	105.0	601.0	93.0	678.0	14.87%	12.06%	NA
UP00008_4	0.0661253688352	0.12453182302	53.0	653.0	42.0	729.0	7.51%	5.45%	NA
MA0463.1.Bcl6	0.066836765809	0.1253837002	257.0	449.0	251.0	520.0	36.4%	32.56%	NA
MA0100.2.Myb	0.0688131638942	0.128592939478	176.0	530.0	166.0	605.0	24.93%	21.53%	NA
MA0152.1.NFATC2	0.0735222019663	0.136849022532	161.0	545.0	151.0	620.0	22.8%	19.58%	NA
UP00032_1_Gata3_primary	0.0737966836383	0.136849022532	123.0	583.0	112.0	659.0	17.42%	14.53%	NA
UP00076_1_Rfxdc2_primary	0.0749445654618	0.138447212532	116.0	590.0	105.0	666.0	16.43%	13.62%	NA
UP00146_1_Pou6f1_1731.2	0.0762699699614	0.14035994472	81.0	625.0	70.0	701.0	11.47%	9.08%	NA
UP00052_1_Osr2_primary	0.0767183420369	0.140650293734	86.0	620.0	75.0	696.0	12.18%	9.73%	NA
UP00015_1_Ehf_primary	0.0816988270469	0.149215970908	225.0	481.0	219.0	552.0	31.87%	28.4%	NA
UP00016_1_Sry_primary	0.0824257241879	0.149977633485	55.0	651.0	45.0	726.0	7.79%	5.84%	NA
MA0041.1.Foxd3	0.0833662942102	0.151120922838	183.0	523.0	175.0	596.0	25.92%	22.7%	NA
MA0035.3.Gata1	0.0839114245639	0.151541527944	124.0	582.0	114.0	657.0	17.56%	14.79%	NA
UP00161_1_Hmbox1_2674.1	0.08642393637	0.155498829751	64.0	642.0	54.0	717.0	9.07%	7.0%	NA
MA0164.1.Nr2e3	0.0885839837128	0.1585425864	73.0	633.0	63.0	708.0	10.34%	8.17%	NA
UP00239_1_Obox2_3438.2	0.0889110664575	0.1585425864	96.0	610.0	86.0	685.0	13.6%	11.15%	NA
UP00143_1_Dobox5_3493.1	0.0892408036815	0.1585425864	92.0	614.0	82.0	689.0	13.03%	10.64%	NA
MA0033.1.FOXL1	0.0894258803455	0.1585425864	82.0	624.0	72.0	699.0	11.61%	9.34%	NA
MA0018.2.CREB1	0.0917045985003	0.161989144796	135.0	571.0	126.0	645.0	19.12%	16.34%	NA
UP00407_1_Elf3_primary	0.0951504275584	0.167464752503	263.0	443.0	261.0	510.0	37.25%	33.85%	NA
UP00009_1_Nr2f2_primary	0.0954976086838	0.167466821025	154.0	552.0	146.0	625.0	21.81%	18.94%	NA
UP00192_1_Six1_0935.2	0.0980124464193	0.171256404574	52.0	654.0	43.0	728.0	7.37%	5.58%	NA
MA0030.1.FOXF2	0.0983769461382	0.171274970974	113.0	593.0	104.0	667.0	16.01%	13.49%	NA
UP00089_3_Tcf1_2666.2	0.100039093134	0.173544519989	56.0	650.0	47.0	724.0	7.93%	6.1%	NA
UP00042_1_Gm397_primary	0.1020711489	0.176437271671	97.0	609.0	88.0	683.0	13.74%	11.41%	NA
UP00026_1_Zscan4_primary	0.102597526186	0.176716023751	94.0	612.0	85.0	686.0	13.31%	11.02%	NA
MA0135.1.Lhx3	0.10409099277	0.178652625889	78.0	628.0	69.0	702.0	11.05%	8.95%	NA
UP00114_1_Homez_1063.2	0.107171970082	0.183290577808	38.0	668.0	30.0	741.0	5.38%	3.89%	NA
MA0593.1.FOXP2	0.109896714936	0.187288767708	208.0	498.0	204.0	567.0	29.46%	26.46%	NA
MA0047.2.Foxa2	0.113414824456	0.192606228199	140.0	566.0	133.0	638.0	19.83%	17.25%	NA
UP00048_1_Rara_primary	0.114946418576	0.19452470836	161.0	545.0	155.0	616.0	22.8%	20.1%	NA
UP00080_1_Gata5_primary	0.116920133435	0.197175416664	96.0	610.0	88.0	683.0	13.6%	11.41%	NA
UP00145_1_Barhl2_3868.1	0.120040611294	0.200042596916	82.0	624.0	74.0	697.0	11.61%	9.6%	NA
MA0031.1.FOXD1	0.120198770176	0.200042596916	81.0	625.0	73.0	698.0	11.47%	9.47%	NA
UP00109_1_Obox6_3440.2	0.120641876339	0.200042596916	62.0	644.0	54.0	717.0	8.78%	7.0%	NA
UP00112_1_Gsc_2327.3	0.120886877419	0.200042596916	64.0	642.0	56.0	715.0	9.07%	7.26%	NA
MA0259.1.HIF1A::ARNT	0.121100167142	0.200042596916	67.0	639.0	59.0	712.0	9.49%	7.65%	NA
UP00169_1_Lmx1b_3433.2	0.121100167142	0.200042596916	67.0	639.0	59.0	712.0	9.49%	7.65%	NA
MA0037.2.GATA3	0.125019740628	0.205814811103	115.0	591.0	108.0	663.0	16.29%	14.01%	NA
UP00213_1_Hoxa9_2622.2	0.127213510073	0.208716402968	110.0	596.0	103.0	668.0	15.58%	13.36%	NA
UP00092_1_Myb_primary	0.129119811748	0.210997863797	35.0	671.0	28.0	743.0	4.96%	3.63%	NA
UP00020_1_Atf1_primary	0.129753713872	0.210997863797	104.0	602.0	97.0	674.0	14.73%	12.58%	NA
MA0492.1.JUND.var.2	0.129911907875	0.210997863797	157.0	549.0	152.0	619.0	22.24%	19.71%	NA
MA0485.1.Hoxc9	0.132166715567	0.213942108142	98.0	608.0	91.0	680.0	13.88%	11.8%	NA
MA0488.1.JUN	0.136266298218	0.219842961126	186.0	520.0	183.0	588.0	26.35%	23.74%	NA
MA0150.2.Nfe2l2	0.146280370057	0.235214947202	190.0	516.0	188.0	583.0	26.91%	24.38%	NA
MA0148.3.FOXA1	0.151412669028	0.242661363608	146.0	560.0	142.0	629.0	20.68%	18.42%	NA
UP00069_1_Sox1_primary	0.154661916783	0.247050718558	87.0	619.0	81.0	690.0	12.32%	10.51%	NA
UP00125_1_Pitx2_2274.3	0.157333712246	0.249670546646	81.0	625.0	75.0	696.0	11.47%	9.73%	NA
UP00188_1_Lmx1a_2238.2	0.157333712246	0.249670546646	81.0	625.0	75.0	696.0	11.47%	9.73%	NA
UP00073_1_Foxa2_primary	0.160519351618	0.253893353539	154.0	552.0	151.0	620.0	21.81%	19.58%	NA
UP00171_1_Msx3_3206.1	0.16216520497	0.255661104904	68.0	638.0	62.0	709.0	9.63%	8.04%	NA
UP00082_1_Zfp187_primary	0.163948998949	0.257634141206	61.0	645.0	55.0	716.0	8.64%	7.13%	NA
UP00261_1_Lhx4_1719.2	0.164882198884	0.258262084984	53.0	653.0	47.0	724.0	7.51%	6.1%	NA
MA0157.1.FOXO3	0.167571442387	0.26162767134	164.0	542.0	162.0	609.0	23.23%	21.01%	NA
MA0160.1.NR4A2	0.168567888953	0.262337164802	144.0	562.0	141.0	630.0	20.4%	18.29%	NA
UP00079_1_Esrra_primary	0.176849543101	0.274343521991	134.0	572.0	131.0	640.0	18.98%	16.99%	NA
UP00166_1_Barhl1_2590.2	0.184436424262	0.285198815792	70.0	636.0	65.0	706.0	9.92%	8.43%	NA
UP00071_1_Sox21_primary	0.18694589453	0.287243850642	65.0	641.0	60.0	711.0	9.21%	7.78%	NA
UP00173_1_Hoxc13_3127.1	0.18694589453	0.287243850642	65.0	641.0	60.0	711.0	9.21%	7.78%	NA
UP00207_1_Hoxb9_3413.1	0.18990810241	0.290871903691	95.0	611.0	91.0	680.0	13.46%	11.8%	NA
UP00131_1_Gbx2_3110.1	0.191793612051	0.292833148998	35.0	671.0	30.0	741.0	4.96%	3.89%	NA
UP00089_1_Tcf1_primary	0.192504171491	0.292993770446	50.0	656.0	45.0	726.0	7.08%	5.84%	NA
UP00162_1_Evx1_3952.2	0.19328238883	0.293256038225	41.0	665.0	36.0	735.0	5.81%	4.67%	NA
UP00168_1_Hoxd8_2644.1	0.199216141354	0.301314413798	83.0	623.0	79.0	692.0	11.76%	10.25%	NA
UP00180_1_Hoxd13_2356.1	0.209106169262	0.315287806613	119.0	587.0	117.0	654.0	16.86%	15.18%	NA
MA0077.1.SOX9	0.211111715801	0.317323200148	117.0	589.0	115.0	656.0	16.57%	14.92%	NA
UP00191_1_Pou2f2_3748.1	0.216136789444	0.323870607093	90.0	616.0	87.0	684.0	12.75%	11.28%	NA
MA0497.1.MEF2C	0.219059579077	0.327237148991	178.0	528.0	180.0	591.0	25.21%	23.35%	NA
MA0029.1.Mecom	0.221372524673	0.329674775206	107.0	599.0	105.0	666.0	15.16%	13.62%	NA
UP00263_1_Hoxb8_3780.2	0.228578112872	0.339361370031	77.0	629.0	74.0	697.0	10.91%	9.6%	NA
MA0480.1.Foxo1	0.232394210445	0.343971858886	210.0	496.0	215.0	556.0	29.75%	27.89%	NA
UP00211_1_Pou3f3_3235.2	0.237337788299	0.350217955905	68.0	638.0	65.0	706.0	9.63%	8.43%	NA
UP00205_1_Pknox2_3077.2	0.249455836239	0.366247619631	137.0	569.0	138.0	633.0	19.41%	17.9%	NA
MA0036.2.GATA2	0.249714286112	0.366247619631	120.0	586.0	120.0	651.0	17.0%	15.56%	NA
UP00181_1_Barx1_2877.1	0.263720281725	0.385621197448	40.0	666.0	37.0	734.0	5.67%	4.8%	NA
MA0032.1.FOXC1	0.270850011802	0.394853631663	30.0	676.0	27.0	744.0	4.25%	3.5%	NA
UP00111_1_Dmbx1_2277.1	0.292457609238	0.425073522136	70.0	636.0	69.0	702.0	9.92%	8.95%	NA
UP00193_1_Rhox11_1765.2	0.298490791055	0.432543541529	66.0	640.0	65.0	706.0	9.35%	8.43%	NA
UP00101_1_Sox12_primary	0.301190689809	0.435153116023	116.0	590.0	118.0	653.0	16.43%	15.3%	NA
UP00226_1_Mrg1_2246.2	0.310705055117	0.447563234157	110.0	596.0	112.0	659.0	15.58%	14.53%	NA
UP00201_1_Emx2_3420.1	0.31379229108	0.45066904713	32.0	674.0	30.0	741.0	4.53%	3.89%	NA
MA0482.1.Gata4	0.322247713493	0.461443471392	118.0	588.0	121.0	650.0	16.71%	15.69%	NA
UP00096_1_Sox13_primary	0.327443506622	0.467500463732	100.0	606.0	102.0	669.0	14.16%	13.23%	NA
MA0078.1.Sox17	0.33270551449	0.473616085333	97.0	609.0	99.0	672.0	13.74%	12.84%	NA
UP00391_1_Hoxa3_primary	0.341368465026	0.484522982618	41.0	665.0	40.0	731.0	5.81%	5.19%	NA
UP00203_1_Pknox1_2364.2	0.345287174266	0.4886520244	119.0	587.0	123.0	648.0	16.86%	15.95%	NA
UP00253_1_Rax_3443.1	0.353521269382	0.498846339303	35.0	671.0	34.0	737.0	4.96%	4.41%	NA
UP00179_1_Pou2f3_3986.2	0.357030434281	0.502333518001	84.0	622.0	86.0	685.0	11.9%	11.15%	NA
UP00189_1_Hoxa5_3415.1	0.361862574826	0.506373193072	50.0	656.0	50.0	721.0	7.08%	6.49%	NA
UP00134_1_Hoxb13_3479.1	0.36199405951	0.506373193072	96.0	610.0	99.0	672.0	13.6%	12.84%	NA
UP00126_1_Dlx2_2273.2	0.368565525275	0.514079868107	47.0	659.0	47.0	724.0	6.66%	6.1%	NA
UP00064_1_Sox18_primary	0.369673795196	0.514144014009	106.0	600.0	110.0	661.0	15.01%	14.27%	NA
UP00391_3_Hoxa3_2783.2	0.370865188829	0.514323069895	46.0	660.0	46.0	725.0	6.52%	5.97%	NA
MA0070.1.PBX1	0.379980361215	0.525458556652	73.0	633.0	75.0	696.0	10.34%	9.73%	NA
MA0501.1.NFE2::MAF	0.384312816769	0.529733387697	175.0	531.0	185.0	586.0	24.79%	23.99%	NA
UP00204_1_Gbx1_2883.2	0.385453278412	0.529733387697	40.0	666.0	40.0	731.0	5.67%	5.19%	NA
UP00227_1_Duxl_1286.2	0.386780212418	0.529733387697	84.0	622.0	87.0	684.0	11.9%	11.28%	NA
MA0069.1.Pax6	0.387449626539	0.529733387697	55.0	651.0	56.0	715.0	7.79%	7.26%	NA
UP00177_1_Hoxd12_3481.1	0.390660902447	0.531833135901	38.0	668.0	38.0	733.0	5.38%	4.93%	NA
UP00027_1_Osr1_primary	0.391183050374	0.531833135901	82.0	624.0	85.0	686.0	11.61%	11.02%	NA
UP00214_1_Hoxb5_3122.2	0.397415753481	0.538793346456	51.0	655.0	52.0	719.0	7.22%	6.74%	NA
MA0496.1.MAFK	0.399610110635	0.539279211976	130.0	576.0	137.0	634.0	18.41%	17.77%	NA
UP00174_1_Hoxa2_3079.1	0.40000255599	0.539279211976	50.0	656.0	51.0	720.0	7.08%	6.61%	NA
MA0125.1.Nobox	0.405301476993	0.544905319069	48.0	658.0	49.0	722.0	6.8%	6.36%	NA
UP00122_1_Tgif1_2342.2	0.407759968507	0.546692035339	126.0	580.0	133.0	638.0	17.85%	17.25%	NA
MA0495.1.MAFF	0.411912808627	0.550734252419	124.0	582.0	131.0	640.0	17.56%	16.99%	NA
UP00198_1_Cphx_3484.1	0.419612288426	0.558504532916	70.0	636.0	73.0	698.0	9.92%	9.47%	NA
UP00059_1_Arid5a_primary	0.421568199769	0.558504532916	56.0	650.0	58.0	713.0	7.93%	7.52%	NA
UP00262_1_Lhx1_2240.2	0.421568199769	0.558504532916	56.0	650.0	58.0	713.0	7.93%	7.52%	NA
UP00248_1_Pax7_3783.1	0.422340204643	0.558504532916	42.0	664.0	43.0	728.0	5.95%	5.58%	NA
UP00130_1_Lhx3_3431.1	0.43284785501	0.569925664959	52.0	654.0	54.0	717.0	7.37%	7.0%	NA
UP00186_1_Meis1_2335.1	0.433331910547	0.569925664959	102.0	604.0	108.0	663.0	14.45%	14.01%	NA
UP00123_1_Hlxb9_3422.1	0.434845749923	0.570366783097	38.0	668.0	39.0	732.0	5.38%	5.06%	NA
UP00100_1_Gata6_primary	0.437654890231	0.572499910465	88.0	618.0	93.0	678.0	12.46%	12.06%	NA
UP00259_1_Hoxb6_3428.2	0.441799795623	0.576364153858	49.0	657.0	51.0	720.0	6.94%	6.61%	NA
UP00243_1_Isx_3445.1	0.452146187872	0.58827622293	33.0	673.0	34.0	737.0	4.67%	4.41%	NA
UP00258_1_Tgif2_3451.1	0.465218220693	0.603661176449	112.0	594.0	120.0	651.0	15.86%	15.56%	NA
MA0479.1.FOXH1	0.477898875747	0.618457368613	118.0	588.0	127.0	644.0	16.71%	16.47%	NA
UP00220_1_Nkx1-1_3856.3	0.484659752305	0.624455021002	48.0	658.0	51.0	720.0	6.8%	6.61%	NA
MA0087.1.Sox5	0.485113817969	0.624455021002	115.0	591.0	124.0	647.0	16.29%	16.08%	NA
MA0025.1.NFIL3	0.492135960926	0.63109048365	57.0	649.0	61.0	710.0	8.07%	7.91%	NA
UP00044_1_Mafk_primary	0.495213747595	0.63109048365	89.0	617.0	96.0	675.0	12.61%	12.45%	NA
MA0594.1.Hoxa9	0.495320162152	0.63109048365	78.0	628.0	84.0	687.0	11.05%	10.89%	NA
UP00264_1_Hoxa1_3425.1	0.495484264022	0.63109048365	45.0	661.0	48.0	723.0	6.37%	6.23%	NA
UP00012_1_Bbx_primary	0.507173914198	0.642597315371	74.0	632.0	80.0	691.0	10.48%	10.38%	NA
UP00229_1_Otx1_2325.1	0.507173914198	0.642597315371	74.0	632.0	80.0	691.0	10.48%	10.38%	NA
MA0142.1.Pou5f1::Sox2	0.508891081175	0.643089512503	127.0	579.0	138.0	633.0	17.99%	17.9%	NA
UP00023_1_Sox30_primary	0.510284567262	0.64317117332	105.0	601.0	114.0	657.0	14.87%	14.79%	NA
MA0153.1.HNF1B	0.514769037051	0.647138218007	61.0	645.0	66.0	705.0	8.64%	8.56%	NA
UP00406_1_Spdef_primary	0.517121500867	0.648411415595	113.0	593.0	123.0	648.0	16.01%	15.95%	NA
UP00221_1_Phox2a_3947.1	0.532407896013	0.665853802766	36.0	670.0	39.0	732.0	5.1%	5.06%	NA
UP00136_1_Prrx2_3072.1	0.541759059591	0.675802538253	34.0	672.0	37.0	734.0	4.82%	4.8%	NA
UP00004_1_Sox14_primary	0.547181850288	0.680812379278	52.0	654.0	57.0	714.0	7.37%	7.39%	NA
MA0063.1.Nkx2-5	0.549884900164	0.682421260716	61.0	645.0	67.0	704.0	8.64%	8.69%	NA
UP00202_1_Dlx1_1741.2	0.555049591234	0.687069059226	50.0	656.0	55.0	716.0	7.08%	7.13%	NA
UP00051_1_Sox8_primary	0.560134898278	0.691595129506	107.0	599.0	118.0	653.0	15.16%	15.3%	NA
UP00110_1_Dlx4_3488.2	0.562241267912	0.692429449541	39.0	667.0	43.0	728.0	5.52%	5.58%	NA
UP00256_1_Lhx6_2272.1	0.566945582789	0.696450918959	38.0	668.0	42.0	729.0	5.38%	5.45%	NA
MA0468.1.DUX4	0.569039276853	0.697253189865	94.0	612.0	104.0	667.0	13.31%	13.49%	NA
UP00115_1_Lhx2_0953.2	0.571764016013	0.698822686239	37.0	669.0	41.0	730.0	5.24%	5.32%	NA
MA0158.1.HOXA5	0.580658573142	0.707906169775	62.0	644.0	69.0	702.0	8.78%	8.95%	NA
UP00164_1_Hoxa7_2668.2	0.584285991241	0.710538743117	52.0	654.0	58.0	713.0	7.37%	7.52%	NA
MA0040.1.Foxq1	0.588444015356	0.713770474378	97.0	609.0	108.0	663.0	13.74%	14.01%	NA
MA0489.1.JUN.var.2	0.589892954031	0.713770474378	236.0	470.0	261.0	510.0	33.43%	33.85%	NA
UP00120_1_Lbx2_3869.2	0.592308143512	0.714905589676	33.0	673.0	37.0	734.0	4.67%	4.8%	NA
UP00158_1_Pou1f1_3818.1	0.595589851545	0.717078328726	67.0	639.0	75.0	696.0	9.49%	9.73%	NA
MA0102.3.CEBPA	0.597348635433	0.717411264391	94.0	612.0	105.0	666.0	13.31%	13.62%	NA
UP00138_1_Bsx_3483.2	0.601239974783	0.718619527758	48.0	658.0	54.0	717.0	6.8%	7.0%	NA
UP00075_1_Sox15_primary	0.601324191616	0.718619527758	102.0	604.0	114.0	657.0	14.45%	14.79%	NA
UP00140_1_Hoxd1_3448.1	0.604058425082	0.720109058472	39.0	667.0	44.0	727.0	5.52%	5.71%	NA
MA0124.1.NKX3-1	0.606078047108	0.720741461425	73.0	633.0	82.0	689.0	10.34%	10.64%	NA
UP00178_1_Og2x_3719.1	0.609100058387	0.722559873185	38.0	668.0	43.0	728.0	5.38%	5.58%	NA
UP00124_1_Ipf1_3815.1	0.624675689713	0.73775551886	51.0	655.0	58.0	713.0	7.22%	7.52%	NA
UP00117_1_Hoxd11_3873.1	0.624958187464	0.73775551886	35.0	671.0	40.0	731.0	4.96%	5.19%	NA
UP00257_1_Shox2_2641.2	0.642054741977	0.756093662085	32.0	674.0	37.0	734.0	4.53%	4.8%	NA
UP00129_1_Pou3f1_3819.1	0.650566666179	0.762676259827	61.0	645.0	70.0	701.0	8.64%	9.08%	NA
UP00242_1_Hoxc8_3429.2	0.650796064687	0.762676259827	53.0	653.0	61.0	710.0	7.51%	7.91%	NA
UP00141_1_Vsx1_1728.1	0.654972193269	0.765716283919	37.0	669.0	43.0	728.0	5.24%	5.58%	NA
UP00106_1_Vax2_3500.1	0.661858492881	0.768244269361	43.0	663.0	50.0	721.0	6.09%	6.49%	NA
UP00237_1_Otp_3496.1	0.661858492881	0.768244269361	43.0	663.0	50.0	721.0	6.09%	6.49%	NA
UP00034_1_Sox7_primary	0.661896405627	0.768244269361	108.0	598.0	123.0	648.0	15.3%	15.95%	NA
UP00233_1_Meox1_2310.2	0.664084792465	0.768940286012	50.0	656.0	58.0	713.0	7.08%	7.52%	NA
UP00182_1_Hoxa6_1040.1	0.682781966671	0.788702796823	46.0	660.0	54.0	717.0	6.52%	7.0%	NA
UP00154_1_Dlx3_1030.1	0.692590967919	0.796232846729	44.0	662.0	52.0	719.0	6.23%	6.74%	NA
UP00245_1_Hoxc10_2779.2	0.692590967919	0.796232846729	44.0	662.0	52.0	719.0	6.23%	6.74%	NA
UP00215_1_Vax1_3499.1	0.697482337167	0.796903802852	50.0	656.0	59.0	712.0	7.08%	7.65%	NA
UP00151_1_Barx2_3447.2	0.697619377391	0.796903802852	43.0	663.0	51.0	720.0	6.09%	6.61%	NA
UP00170_1_Isl2_3430.1	0.698114075226	0.796903802852	72.0	634.0	84.0	687.0	10.2%	10.89%	NA
MA0478.1.FOSL2	0.702088806502	0.797693417847	248.0	458.0	280.0	491.0	35.13%	36.32%	NA
UP00224_1_Pax6_3838.3	0.702102057857	0.797693417847	49.0	657.0	58.0	713.0	6.94%	7.52%	NA
UP00241_1_Hoxd3_1742.2	0.706826865623	0.799528037338	55.0	651.0	65.0	706.0	7.79%	8.43%	NA
UP00121_1_Hoxd10_2368.2	0.707020661117	0.799528037338	109.0	597.0	126.0	645.0	15.44%	16.34%	NA
UP00212_1_Lhx5_2279.1	0.71555639647	0.807294396018	53.0	653.0	63.0	708.0	7.51%	8.17%	NA
UP00116_1_Rhox6_4251.1	0.718624783639	0.8088706867	39.0	667.0	47.0	724.0	5.52%	6.1%	NA
UP00187_1_Alx4_1744.1	0.735906694405	0.825036528275	30.0	676.0	37.0	734.0	4.25%	4.8%	NA
UP00246_1_Hoxa11_2218.1	0.736396240113	0.825036528275	42.0	664.0	51.0	720.0	5.95%	6.61%	NA
UP00152_1_Arx_1738.2	0.747126616846	0.834681275137	34.0	672.0	42.0	729.0	4.82%	5.45%	NA
MA0099.2.JUN::FOS	0.748453870681	0.834681275137	213.0	493.0	244.0	527.0	30.17%	31.65%	NA
UP00251_1_Esx1_3124.2	0.752251709671	0.835613513148	39.0	667.0	48.0	723.0	5.52%	6.23%	NA
UP00149_1_Phox2b_3948.1	0.752742751513	0.835613513148	45.0	661.0	55.0	716.0	6.37%	7.13%	NA
UP00135_1_Hoxc12_3480.1	0.768887268738	0.850344968021	36.0	670.0	45.0	726.0	5.1%	5.84%	NA
UP00105_1_Pou3f4_3773.1	0.770531867505	0.850344968021	60.0	646.0	73.0	698.0	8.5%	9.47%	NA
MA0477.1.FOSL1	0.771283968928	0.850344968021	228.0	478.0	262.0	509.0	32.29%	33.98%	NA
UP00139_1_Nkx1-2_3214.1	0.777210309867	0.854931340854	46.0	660.0	57.0	714.0	6.52%	7.39%	NA
MA0043.1.HLF	0.781974732108	0.856482813609	45.0	661.0	56.0	715.0	6.37%	7.26%	NA
UP00218_1_Dbx2_3487.1	0.782159924824	0.856482813609	70.0	636.0	85.0	686.0	9.92%	11.02%	NA
UP00210_1_Mrg2_2302.1	0.790663965197	0.862777467863	102.0	604.0	122.0	649.0	14.45%	15.82%	NA
UP00254_1_Pou2f1_3081.2	0.791473544899	0.862777467863	61.0	645.0	75.0	696.0	8.64%	9.73%	NA
UP00142_1_Uncx4.1_2281.2	0.806619848611	0.877312374669	40.0	666.0	51.0	720.0	5.67%	6.61%	NA
MA0465.1.CDX2	0.810101401873	0.879123494409	88.0	618.0	107.0	664.0	12.46%	13.88%	NA
UP00266_1_Prrx1_3442.1	0.822084924572	0.890132222579	37.0	669.0	48.0	723.0	5.24%	6.23%	NA
UP00234_1_Msx1_3031.2	0.827774979031	0.892731762938	41.0	665.0	53.0	718.0	5.81%	6.87%	NA
MA0490.1.JUNB	0.828174713965	0.892731762938	229.0	477.0	267.0	504.0	32.44%	34.63%	NA
UP00091_1_Sox5_primary	0.830611874175	0.893369215779	94.0	612.0	115.0	656.0	13.31%	14.92%	NA
UP00118_1_Pou4f3_2791.1	0.84544341457	0.906867811102	64.0	642.0	81.0	690.0	9.07%	10.51%	NA
UP00167_1_En1_3123.2	0.846909608715	0.906867811102	42.0	664.0	55.0	716.0	5.95%	7.13%	NA
UP00127_1_Gsh2_3990.2	0.856016238646	0.914595716346	40.0	666.0	53.0	718.0	5.67%	6.87%	NA
UP00163_1_En2_0952.1	0.860168833732	0.915576840778	30.0	676.0	41.0	730.0	4.25%	5.32%	NA
UP00240_1_Cdx1_2245.1	0.863824722577	0.915576840778	64.0	642.0	82.0	689.0	9.07%	10.64%	NA
UP00137_1_Hoxb3_1720.2	0.864002825413	0.915576840778	48.0	658.0	63.0	708.0	6.8%	8.17%	NA
UP00197_1_Hoxc9_2367.2	0.865548737207	0.915576840778	58.0	648.0	75.0	696.0	8.22%	9.73%	NA
UP00238_1_Nkx6-3_3446.1	0.866976958687	0.915576840778	63.0	643.0	81.0	690.0	8.92%	10.51%	NA
UP00172_1_Prop1_3949.1	0.868406478247	0.915576840778	42.0	664.0	56.0	715.0	5.95%	7.26%	NA
UP00014_1_Sox17_primary	0.870176336277	0.915576840778	85.0	621.0	107.0	664.0	12.04%	13.88%	NA
UP00108_1_Alx3_3418.2	0.883936602503	0.925657777638	34.0	672.0	47.0	724.0	4.82%	6.1%	NA
